Kategori_Utama,orders,revenue_rp,profit_efisien_rp,margin_efisien_pct,profit_umum_rp,margin_umum_pct,profit_ketat_rp,margin_ketat_pct
Seal / Baut / Roof,565,275051712,111680669.57,40.60351733785972,56670327.17,20.603517337859724,15412570.370000005,5.603517337859727
Celengan,5115,160153603,22390947.26,13.980920092069363,-9639773.34,-6.019079907930639,-33662813.79,-21.01907990793064
Mangkok Sambal / Saus,3266,135449880,16647570.44,12.290575997557177,-10442405.56,-7.709424002442823,-30759887.56,-22.70942400244282
Nampan / Tray,1177,101559220,25823955.71,25.427485274109042,5512111.709999999,5.427485274109036,-9721771.29,-9.572514725890963
Baskom / Mangkok Besar,624,49654089,12466125.87,25.10594015731514,2535308.0699999994,5.105940157315139,-4912805.279999999,-9.894059842684857
Lunch Box / Rantang,435,48694496,14417140.665,29.6073311139723,4678241.465,9.607331113972306,-2625932.934999999,-5.392668886027692
Other,447,43800606,13116795.965,29.946608421353805,4356674.765,9.946608421353805,-2213416.135,-5.0533915786461945
Aksesoris Pintu,2647,42410561,-3639292.62,-8.581099929331282,-12121404.82,-28.581099929331284,-18482988.97,-43.58109992933128
Rak / Rak Serbaguna,411,32375070,6759586.16,20.878985466286252,284572.1599999996,0.8789854662862494,-4571688.34,-14.12101453371375
Keranjang,484,20479725,2676579.025,13.06940901306048,-1419365.975,-6.930590986939523,-4491324.725,-21.930590986939517
Perlengkapan Packing,91,16263115,5719944.55,35.17127284656107,2467321.55,15.171272846561068,27854.300000000294,0.1712728465610696
Botol / Gelas / Mug,331,14525163,2513279.675,17.30293611851378,-391752.9250000001,-2.697063881486219,-2570527.375,-17.69706388148622
Peralatan Makan,164,11335085,2522386.495,22.252912042565185,255369.49499999988,2.2529120425651845,-1444893.255,-12.747087957434813
Tempat Nasi,362,11232742,550679.935,4.902453336861115,-1695868.465,-15.097546663138885,-3380779.765,-30.097546663138885
Teko / Jug,166,8655799,1407019.97,16.25522923995809,-324139.83000000013,-3.7447707600419107,-1622509.68,-18.74477076004191
Pengolah Bumbu / Sayur,109,8402949,1786472.615,21.260067328743755,105882.81499999994,1.2600673287437536,-1154559.535,-13.739932671256245
Piring,110,7953420,1566258.0150000001,19.692887022186685,-24425.98500000008,-0.30711297781331903,-1217438.9849999999,-15.307112977813317
Saringan / Strainer,249,7815132,105897.70499999997,1.3550341184256385,-1457128.695,-18.644965881574365,-2629398.495,-33.644965881574365
Stempel / Alat Kantor,92,6794864,2224847.66,32.743078595833566,865874.86,12.743078595833559,-153354.73999999996,-2.2569214041664405
Toples / Sealware,104,5582658,1083325.56,19.405193010211267,-33206.04000000011,-0.594806989788737,-870604.74,-15.594806989788735
Plastik / Wadah Plastik,95,5367772,1269809.865,23.65618109338474,196255.46499999997,3.656181093384741,-608910.335,-11.343818906615258
Bangku / Kursi Kecil,134,5017461,544604.62,10.85418740673819,-458887.5800000001,-9.145812593261812,-1211506.73,-24.145812593261812
Pisau / Alat Potong,77,4979092,1094460.165,21.981119549508225,98641.76499999996,1.9811195495082226,-648222.0349999999,-13.018880450491773
Gantungan Baju / Hanger,81,4726901,781407.66,16.531077337985288,-163972.54000000004,-3.4689226620147116,-873007.69,-18.468922662014712
Peralatan Kamar Mandi,180,4094158,-311353.575,-7.604825583184625,-1130185.175,-27.604825583184628,-1744308.875,-42.60482558318463
Aksesoris ID Card,56,3794387,1266575.175,33.380231773933446,507697.77499999997,13.380231773933444,-61460.27499999998,-1.6197682260665553
Cobek / Ulekan,35,2790861,776471.42,27.821930938158513,218299.21999999994,7.821930938158508,-200329.92999999993,-7.178069061841487
Aksesoris Mandi,46,2431569,605887.83,24.917566805630436,119574.03,4.917566805630439,-245161.32,-10.08243319436956
Gayung,55,1256218,-17391.739999999994,-1.384452380080527,-268635.34,-21.38445238008053,-457068.04,-36.384452380080525
Mangkok,16,945806,189949.42,20.083338443613176,788.2199999999921,0.08333844361317143,-141082.68,-14.916661556386826
Perkakas,3,535260,229660.2,42.90628853267571,122608.2,22.90628853267571,42319.2,7.906288532675708
Sapu / Pembersih Lantai,11,444062,75504.34,17.003107674153608,-13308.060000000001,-2.996892325846391,-79917.36,-17.996892325846392
Spatula,12,303544,50606.08,16.67174445879345,-10102.72,-3.328255541206546,-55634.32,-18.32825554120655
Talenan,11,296614,15473.630000000003,5.216756457888031,-43849.17,-14.78324354211197,-88341.26999999999,-29.783243542111965
Sikat / Pembersih,4,203600,36472.0,17.913555992141454,-4248.0,-2.0864440078585464,-34788.0,-17.086444007858546
Aksesoris Motor,1,114362,33138.34,28.97670554904601,10265.94,8.976705549046013,-6888.36,-6.023294450953988
Pot Tanaman / Bunga,2,59178,-4329.1,-7.315387475075196,-16164.7,-27.315387475075198,-25041.4,-42.3153874750752
