Kota/Kabupaten,Provinsi,orders,revenue_rp
KAB. TANGERANG,BANTEN,1008,61026026
KAB. BOGOR,JAWA BARAT,1050,58294159
KOTA TANGERANG,BANTEN,879,46523839
KOTA JAKARTA BARAT,DKI JAKARTA,635,43381103
KOTA TANGERANG SELATAN,BANTEN,692,36272437
KOTA JAKARTA SELATAN,DKI JAKARTA,623,34448239
KOTA DEPOK,JAWA BARAT,526,29394974
KOTA PALEMBANG,SUMATERA SELATAN,267,26781136
KAB. BANYUMAS,JAWA TENGAH,76,26284104
KAB. BEKASI,JAWA BARAT,728,25105461
KOTA JAKARTA TIMUR,DKI JAKARTA,588,24471141
KAB. BANDUNG,JAWA BARAT,431,24309525
KOTA BEKASI,JAWA BARAT,547,22860191
KAB. GRESIK,JAWA TIMUR,56,21875066
KOTA BANDUNG,JAWA BARAT,370,19696413
KOTA JAKARTA UTARA,DKI JAKARTA,419,19484947
KAB. KARAWANG,JAWA BARAT,383,16238319
KOTA JAKARTA PUSAT,DKI JAKARTA,262,13139512
KOTA CILEGON,BANTEN,117,11494448
KOTA SURABAYA,JAWA TIMUR,150,10165503
KOTA DENPASAR,BALI,77,9998761
KOTA BOGOR,JAWA BARAT,209,9372491
KOTA SUKABUMI,JAWA BARAT,83,9337715
KOTA BANDAR LAMPUNG,LAMPUNG,169,8885052
KOTA MALANG,JAWA TIMUR,54,8847459
KOTA SERANG,BANTEN,147,8405706
KAB. SUKABUMI,JAWA BARAT,195,8237136
KOTA PEKALONGAN,JAWA TENGAH,29,6771132
KAB. SUBANG,JAWA BARAT,120,6669108
KOTA SEMARANG,JAWA TENGAH,138,6664868
