Periode,orders,revenue_rp,profit_efisien_rp,profit_umum_rp,profit_ketat_rp,aov_rp
2023-12,352,23850125,8464811.25,3694786.25,117267.50000000029,67756.03693181818
2024-01,367,24492481,8947951.17,4049454.9699999997,375582.8200000006,66737.00544959128
2024-02,327,21141376,7028171.32,2799896.12,-371310.27999999956,64652.52599388379
2024-03,389,30259734,10294903.38,4242956.58,-296003.51999999967,77788.51928020566
2024-04,403,21260662,6399173.34,2147040.94,-1042058.3599999998,52755.98511166253
2024-05,525,35530574,12009100.18,4902985.38,-426600.7199999997,67677.28380952381
2024-06,608,32465925,8376622.25,1883437.2499999998,-2986451.4999999995,53397.90296052631
2024-07,1114,63791545,14584173.65,1825864.6499999997,-7742867.1,57263.50538599641
2024-08,1097,65939126,15138707.82,1950882.6199999994,-7939986.279999999,60108.592525068365
2024-09,967,71193097,18212679.29,3974059.8899999997,-6704904.659999999,73622.64426059979
2024-10,1058,68444255,14688415.35,999564.3499999994,-9267073.899999999,64692.11247637051
2024-11,892,54907940,11113060.8,131472.7999999997,-8104718.199999999,61555.9865470852
2024-12,1047,56060258,8876125.235,-2335926.365,-10744965.065,53543.70391595033
2025-01,1005,53240632,10357413.24,-290713.1600000004,-8276807.959999999,52975.753233830845
2025-02,835,53088026,11403156.82,785551.6199999996,-7177652.279999999,63578.474251497006
2025-03,516,43689770,10238349.9,1500395.8999999994,-5053069.6,84670.09689922481
2025-04,678,35077659,5981951.63,-1033580.17,-6295229.02,51736.96017699115
2025-05,649,29139406,3890249.42,-1937631.7800000003,-6308542.68,44898.93066255778
2025-06,520,30576496,7265806.72,1150507.5199999998,-3435966.8799999994,58800.95384615385
2025-07,676,41642561,11284159.77,2955647.57,-3290736.5799999996,61601.42159763313
2025-08,855,46950416,11139192.120000001,1749108.9199999997,-5293453.4799999995,54912.76725146199
2025-09,1016,47056602,8700547.14,-710773.2600000001,-7769263.56,46315.5531496063
2025-10,1092,61464654,16227472.78,3934541.98,-5285156.119999999,56286.31318681319
2025-11,780,34287414,7834941.9799999995,977459.1799999998,-4165652.9199999995,43958.223076923074
