Provinsi,orders,revenue_rp,profit_efisien_rp,margin_efisien_pct,profit_umum_rp,margin_umum_pct,profit_ketat_rp,margin_ketat_pct
JAWA BARAT,5851,275388979,69686524.99,25.30476173848627,14608729.19,5.304761738486274,-26699617.659999996,-9.695238261513724
BANTEN,3164,176844990,50677763.395,28.656601125652475,15308765.395,8.65660112565247,-11217983.104999997,-6.3433988743475265
DKI JAKARTA,2529,134953842,38685244.805,28.66553795852659,11694476.405,8.66553795852659,-8548599.894999998,-6.334462041473408
JAWA TENGAH,1286,99390647,28638837.115,28.814418639411816,8760707.715,8.814418639411816,-6147889.334999999,-6.185581360588184
JAWA TIMUR,1326,94724345,25137832.065,26.537879005655835,6192963.0649999995,6.537879005655832,-8015688.684999999,-8.462120994344167
SUMATERA SELATAN,529,40548021,7495087.0200000005,18.484470598454116,-614517.1800000003,-1.5155294015458862,-6696720.33,-16.515529401545887
LAMPUNG,413,21921758,1589622.835,7.251347428431607,-2794728.765,-12.748652571568394,-6082992.465,-27.748652571568392
BALI,161,21870690,5797458.8149999995,26.507891680600835,1423320.8149999997,6.50789168060084,-1857282.6849999996,-8.492108319399158
SULAWESI SELATAN,194,19383132,3159652.09,16.301039945453603,-716974.3100000003,-3.6989600545463976,-3624444.11,-18.698960054546397
SUMATERA UTARA,238,18084554,2055121.1400000001,11.363958104800373,-1561789.6600000001,-8.636041895199629,-4274472.76,-23.636041895199625
JAMBI,278,15447509,270057.42500000005,1.7482263645225908,-2819444.375,-18.25177363547741,-5136570.725,-33.251773635477406
RIAU,263,14695301,345493.92000000004,2.351050311933046,-2593566.2800000003,-17.648949688066956,-4797861.43,-32.64894968806695
NUSA TENGGARA BARAT (NTB),76,13047395,3824690.5500000003,29.313825096887157,1215211.55,9.313825096887157,-741897.6999999997,-5.686174903112842
KALIMANTAN BARAT,165,11838671,1336776.28,11.291607647513812,-1030957.92,-8.708392352486188,-2806758.57,-23.708392352486186
SUMATERA BARAT,218,10865432,118277.68000000004,1.08856859073804,-2054808.72,-18.91143140926196,-3684623.52,-33.91143140926196
KALIMANTAN SELATAN,112,9663700,1521146.83,15.74083249686973,-411593.17000000004,-4.259167503130271,-1861148.17,-19.25916750313027
DI YOGYAKARTA,220,9324869,1375944.565,14.755644985468427,-489029.23500000004,-5.244355014531572,-1887759.585,-20.24435501453157
KALIMANTAN TIMUR,92,9260385,1773742.57,19.154091001616024,-78334.43000000005,-0.8459089983839769,-1467392.18,-15.845908998383976
BENGKULU,117,6552717,642192.61,9.800402031706849,-668350.79,-10.199597968293153,-1651258.3399999999,-25.19959796829315
KALIMANTAN TENGAH,93,6281221,160815.49,2.5602584274617946,-1095428.7100000002,-17.43974157253821,-2037611.8599999999,-32.4397415725382
BANGKA BELITUNG,109,6206914,308322.23000000004,4.967399741642949,-933060.5700000001,-15.032600258357053,-1864097.67,-30.03260025835705
NANGGROE ACEH DARUSSALAM (NAD),93,5388096,39709.55999999998,0.7369868688308445,-1037909.64,-19.263013131169153,-1846124.04,-34.26301313116916
SULAWESI TENGGARA,24,4442572,995168.28,22.4007237249053,106653.87999999998,2.400723724905302,-559731.9199999999,-12.599276275094695
KEPULAUAN RIAU,53,3386735,45997.95000000001,1.3581797808213518,-631349.05,-18.64182021917865,-1139359.3,-33.64182021917865
SULAWESI UTARA,27,3109713,599948.97,19.292744057088225,-21993.630000000005,-0.7072559429117737,-488450.58,-15.707255942911774
SULAWESI TENGAH,36,3019246,455081.7,15.072693646029506,-148767.50000000003,-4.927306353970495,-601654.3999999999,-19.927306353970494
MALUKU,14,2241295,430204.325,19.194453429825167,-18054.674999999996,-0.8055465701748317,-354248.925,-15.80554657017483
GORONTALO,38,1928835,-44279.28999999999,-2.2956494464275066,-430046.29,-22.295649446427507,-719371.54,-37.29564944642751
NUSA TENGGARA TIMUR (NTT),18,1714411,363867.27,21.224039626437303,20985.06999999997,1.2240396264372995,-236176.58,-13.775960373562699
MALUKU UTARA,7,1401836,429891.04,30.666286213223227,149523.84,10.666286213223229,-60751.559999999896,-4.333713786776762
KALIMANTAN UTARA,9,1173574,258573.4,22.032986415854474,23858.59999999999,2.0329864158544746,-152177.5,-12.967013584145526
SULAWESI BARAT,13,1139349,219178.93,19.237207387727555,-8690.870000000014,-0.762792612272448,-179593.22,-15.762792612272447
PAPUA,1,165000,36295.0,21.9969696969697,3294.99999999999,1.9969696969696908,-21455.0,-13.003030303030302
PAPUA BARAT,1,145000,26895.0,18.548275862068966,-2105.0,-1.4517241379310346,-23855.0,-16.451724137931034
