Opsi Pengiriman,orders,revenue_rp,ongkir_ditanggung_toko_rp
Hemat Kargo-SPX Hemat,11023,501000472,120785600
Reguler (Cashless)-SPX Standard,4224,155892198,56124597
Kargo-J&T Cargo,140,72732985,3253806
Kargo-JNE Trucking (JTR),172,72061474,3536606
Instant (Versi Lama)-SPX Instant (Versi Lama),292,62073976,6778000
Same Day-SPX Sameday,272,30596009,2974500
Hemat Kargo-J&T Cargo,63,28988829,1836000
SPX Hemat,472,16318235,7418600
Reguler (Cashless)-JNE Reguler,330,16101654,4535797
Hemat Kargo-J&T Economy,138,13390007,2809700
Instant (Versi Lama)-GoSend Instant (Versi Lama),21,12284640,557000
J&T Cargo,48,10780395,1735310
Reguler (Cashless)-J&T Express,95,9738209,1633500
SPX Standard,166,8374137,2480800
Instant-SPX Instant,35,6735273,639000
Instant (Versi Lama)-GrabExpress Instant (Versi Lama),9,5502249,218000
Agen SPX Express,75,3725422,1484500
JNE Trucking (JTR),2,3182215,149500
Hemat Kargo-JNE Trucking (JTR),6,2651318,213500
Same Day-GoSend Same Day,23,2267022,109000
Next Day-JNE YES,26,2087237,0
J&T Express,27,1429129,325400
SPX Sameday,18,1333708,124966
SPX Express Point,18,1004063,306000
JNE Reguler,27,794246,346000
GoSend Instant (Versi Lama),9,762039,163000
SPX Instant (Versi Lama),7,703820,167956
JNE YES,2,598860,0
GoSend Same Day,9,562087,16000
SPX Instant,3,526800,85000
GrabExpress Instant,3,475910,54000
GrabExpress Instant (Versi Lama),6,420281,126500
Instant Prioritas-SPX Instant Prioritas,2,131400,10000
Gosend Instant,1,107063,20000
SPX Instant Prioritas,1,93300,0
J&T Economy,2,87072,18500
GrabExpress Sameday,1,37000,0
