order_id,Periode,Kategori_Utama,Provinsi,Kota/Kabupaten,Metode Pembayaran,Opsi Pengiriman,Total Pembayaran,Estimasi Potongan Biaya Pengiriman,Estimasi_Biaya_Komisi_Rp,Estimasi_Biaya_Proses_Pesanan_Rp
ORD_0000001,2024-04,Celengan,BANTEN,KOTA SERANG,Saldo ShopeePay,Reguler (Cashless)-SPX Standard,38300,10000,3830,1255
ORD_0000002,2024-04,Celengan,JAWA TENGAH,KOTA SEMARANG,COD (Bayar di Tempat),Hemat Kargo-SPX Hemat,18576,14500,1858,1255
ORD_0000003,2024-04,Celengan,JAWA BARAT,KAB. BOGOR,SeaBank Bayar Instan,Hemat Kargo-SPX Hemat,7069,8000,707,1255
ORD_0000004,2024-04,Mangkok Sambal / Saus,JAMBI,KOTA JAMBI,COD (Bayar di Tempat),Hemat Kargo-SPX Hemat,32200,20000,3220,1255
ORD_0000006,2024-04,Celengan,JAWA BARAT,KAB. BANDUNG,SPayLater,Hemat Kargo-SPX Hemat,40996,10000,4100,1255
ORD_0000008,2024-04,Celengan,JAWA BARAT,KAB. BOGOR,Online Payment,Hemat Kargo-SPX Hemat,18280,8000,1828,1255
ORD_0000010,2024-04,Aksesoris Mandi,JAWA TENGAH,KAB. TEGAL,Online Payment,Hemat Kargo-SPX Hemat,92800,20000,9280,1255
ORD_0000013,2024-04,Toples / Sealware,BANTEN,KAB. PANDEGLANG,COD (Bayar di Tempat),Reguler (Cashless)-SPX Standard,32200,16000,3220,1255
ORD_0000014,2024-04,Mangkok Sambal / Saus,JAWA BARAT,KOTA BEKASI,COD (Bayar di Tempat),Hemat Kargo-SPX Hemat,30000,8000,3000,1255
ORD_0000016,2024-04,Celengan,JAWA BARAT,KAB. BEKASI,Saldo ShopeePay,Hemat Kargo-SPX Hemat,24000,8000,2400,1255
ORD_0000017,2024-04,Celengan,JAWA BARAT,KOTA DEPOK,Saldo ShopeePay,Hemat Kargo-SPX Hemat,20800,8000,2080,1255
ORD_0000018,2024-04,Other,BANTEN,KOTA TANGERANG,Saldo ShopeePay,Instant (Versi Lama)-SPX Instant (Versi Lama),124000,20000,12400,1255
ORD_0000019,2024-04,Celengan,LAMPUNG,KAB. LAMPUNG UTARA,COD (Bayar di Tempat),Agen SPX Express,35112,20000,3511,1255
ORD_0000020,2024-04,Nampan / Tray,BANTEN,KAB. TANGERANG,COD (Bayar di Tempat),Hemat Kargo-SPX Hemat,14187,8000,1419,1255
ORD_0000021,2024-04,Mangkok Sambal / Saus,JAWA BARAT,KAB. SUBANG,COD (Bayar di Tempat),Hemat Kargo-SPX Hemat,79000,15000,7900,1255
ORD_0000023,2024-04,Rak / Rak Serbaguna,BENGKULU,KOTA BENGKULU,COD (Bayar di Tempat),Hemat Kargo-SPX Hemat,72760,40000,7276,1255
ORD_0000024,2024-04,Keranjang,DKI JAKARTA,KOTA JAKARTA TIMUR,COD (Bayar di Tempat),Hemat Kargo-SPX Hemat,6200,8000,620,1255
ORD_0000025,2024-04,Nampan / Tray,JAWA BARAT,KAB. SUBANG,COD (Bayar di Tempat),Hemat Kargo-SPX Hemat,134640,20000,13464,1255
ORD_0000026,2024-04,Mangkok Sambal / Saus,LAMPUNG,KAB. LAMPUNG TIMUR,COD (Bayar di Tempat),Agen SPX Express,163240,40000,16324,1255
ORD_0000027,2024-04,Toples / Sealware,BANTEN,KOTA TANGERANG,COD (Bayar di Tempat),Hemat Kargo-SPX Hemat,42600,8000,4260,1255
ORD_0000028,2024-04,Keranjang,BANTEN,KAB. TANGERANG,Saldo ShopeePay,Hemat Kargo-SPX Hemat,11000,8000,1100,1255
ORD_0000029,2024-04,Keranjang,JAWA BARAT,KAB. BEKASI,Online Payment,Hemat Kargo-SPX Hemat,20000,8000,2000,1255
ORD_0000030,2024-04,Celengan,BANTEN,KAB. TANGERANG,Saldo ShopeePay,Reguler (Cashless)-SPX Standard,18000,9500,1800,1255
ORD_0000031,2024-04,Mangkok Sambal / Saus,JAWA TENGAH,KAB. KEBUMEN,COD (Bayar di Tempat),Hemat Kargo-SPX Hemat,33000,0,3300,1255
ORD_0000033,2024-04,Mangkok Sambal / Saus,JAWA TIMUR,KAB. LUMAJANG,Kartu Kredit/Debit,Reguler (Cashless)-SPX Standard,68500,19000,6850,1255
ORD_0000034,2024-04,Celengan,JAWA BARAT,KAB. KARAWANG,COD (Bayar di Tempat),Hemat Kargo-SPX Hemat,27000,0,2700,1255
